Date,Open,High,Low,Close
02-Dec-11,5989.95,6155.85,5986.5,6122.9
05-Dec-11,6107.25,6154.75,6081.95,6129.8
07-Dec-11,6134.45,6250.3,6105.05,6223.05
08-Dec-11,6189.15,6237.6,6131.45,6179.3
09-Dec-11,6079.7,6194.5,6064.95,6135.25
12-Dec-11,6153.45,6226.35,6111.85,6194.45
13-Dec-11,6174.15,6256.75,6157.6,6208.15
14-Dec-11,6205.2,6240.25,6166.25,6198.5
15-Dec-11,6177.75,6182.8,6054.6,6160.65
16-Dec-11,6120.55,6223.25,6079.9,6112.55
19-Dec-11,6059.5,6091.95,5967.9,6043.6
20-Dec-11,6061.8,6066.45,5976.35,5989.95
21-Dec-11,6085.05,6154.5,5991.45,6131.25
22-Dec-11,5992.9,6123.65,5987.85,6076.55
23-Dec-11,6105.85,6106.25,6024.75,6058.6
26-Dec-11,6051.85,6212.75,6051.85,6202.3
27-Dec-11,6189.05,6240.15,6124.65,6168.65
28-Dec-11,6177.95,6210.75,6138.5,6167.2
29-Dec-11,6128.35,6158.4,6097.45,6111.7
30-Dec-11,6126.55,6171.55,6115.85,6139
02-Jan-12,6130.15,6233.35,6104.7,6217.7
03-Jan-12,6248.85,6384.25,6248.85,6356.15
04-Jan-12,6346.8,6379.05,6307.65,6325.1
05-Jan-12,6302.8,6373.8,6286.8,6301.55
06-Jan-12,6288.05,6347.7,6239.5,6281.1
07-Jan-12,6291.8,6318.65,6280.75,6289.85
09-Jan-12,6304.45,6333.05,6261.1,6287.9
